DateTime, Value
7/1/2017 01:00:00, 8
7/1/2017 02:00:00, 8.05
7/1/2017 03:00:00, 6.09
7/1/2017 04:00:00, 7.33
7/1/2017 05:00:00, 8.91
7/1/2017 06:00:00, 11.17
7/1/2017 07:00:00, 13.56
7/1/2017 08:00:00, 17.29
7/1/2017 09:00:00, 16.93
7/1/2017 10:00:00, 17.27
7/1/2017 11:00:00, 19.76
7/1/2017 12:00:00, 21.64
7/1/2017 13:00:00, 19.17
7/1/2017 14:00:00, 16.13
7/1/2017 15:00:00, 18.72
7/1/2017 16:00:00, 18.18
7/1/2017 17:00:00, 16.85
7/1/2017 18:00:00, 13.5
7/1/2017 19:00:00, 12.48
7/1/2017 20:00:00, 13.96
7/1/2017 21:00:00, 14.02
7/1/2017 22:00:00, 14.02
7/1/2017 23:00:00, 13.78
7/2/2017 00:00:00, 12.44
7/2/2017 01:00:00, 12.23
7/2/2017 02:00:00, 11.04
7/2/2017 03:00:00, 9.72
7/2/2017 04:00:00, 10.11
7/2/2017 05:00:00, 10.62
7/2/2017 06:00:00, 10.52
7/2/2017 07:00:00, 10.07
7/2/2017 08:00:00, 9.4
7/2/2017 09:00:00, 9.59
7/2/2017 10:00:00, 10.87
7/2/2017 11:00:00, 11.79
7/2/2017 12:00:00, 11.7
7/2/2017 13:00:00, 10.46
7/2/2017 14:00:00, 10.55
7/2/2017 15:00:00, 10.39
7/2/2017 16:00:00, 10.39
7/2/2017 17:00:00, 10.41
7/2/2017 18:00:00, 10.54
7/2/2017 19:00:00, 10.24
7/2/2017 20:00:00, 9.63
7/2/2017 21:00:00, 9.5
7/2/2017 22:00:00, 9.36
7/2/2017 23:00:00, 9.22
7/3/2017 00:00:00, 8.92
7/3/2017 01:00:00, 8.86
7/3/2017 02:00:00, 8.86
7/3/2017 03:00:00, 8.86
7/3/2017 04:00:00, 8.86
7/3/2017 05:00:00, 8.82
7/3/2017 06:00:00, 8.86
7/3/2017 07:00:00, 9.06
7/3/2017 08:00:00, 9.24
7/3/2017 09:00:00, 9.41
7/3/2017 10:00:00, 9.54
7/3/2017 11:00:00, 9.85
7/3/2017 12:00:00, 9.93
7/3/2017 13:00:00, 10.07
7/3/2017 14:00:00, 10.2
7/3/2017 15:00:00, 10.49
7/3/2017 16:00:00, 11
7/3/2017 17:00:00, 11.99
7/3/2017 18:00:00, 11.9
7/3/2017 19:00:00, 12.03
7/3/2017 20:00:00, 11.84
7/3/2017 21:00:00, 11.33
7/3/2017 22:00:00, 11.33
7/3/2017 23:00:00, 11.09
7/4/2017 00:00:00, 10.47
7/4/2017 01:00:00, 10.32
7/4/2017 02:00:00, 7.55
7/4/2017 03:00:00, 5.93
7/4/2017 04:00:00, 5.06
7/4/2017 05:00:00, 6.82
7/4/2017 06:00:00, 9.5
7/4/2017 07:00:00, 12.44
7/4/2017 08:00:00, 13.05
7/4/2017 09:00:00, 13.59
7/4/2017 10:00:00, 13.93
7/4/2017 11:00:00, 15.47
7/4/2017 12:00:00, 17.27
7/4/2017 13:00:00, 19.57
7/4/2017 14:00:00, 19.73
7/4/2017 15:00:00, 19.83
7/4/2017 16:00:00, 19.52
7/4/2017 17:00:00, 18.93
7/4/2017 18:00:00, 18.3
7/4/2017 19:00:00, 15.21
7/4/2017 20:00:00, 14.67
7/4/2017 21:00:00, 14.09
7/4/2017 22:00:00, 12.45
7/4/2017 23:00:00, 12.16
7/5/2017 00:00:00, 10.75
7/5/2017 01:00:00, 9.54
7/5/2017 02:00:00, 10.07
7/5/2017 03:00:00, 10.31
7/5/2017 04:00:00, 9.57
7/5/2017 05:00:00, 9.38
7/5/2017 06:00:00, 9.42
7/5/2017 07:00:00, 9.88
7/5/2017 08:00:00, 10.42
7/5/2017 09:00:00, 11.01
7/5/2017 10:00:00, 11.96
7/5/2017 11:00:00, 13.18
7/5/2017 12:00:00, 13.83
7/5/2017 13:00:00, 14.02
7/5/2017 14:00:00, 15.19
7/5/2017 15:00:00, 15.73
7/5/2017 16:00:00, 16
7/5/2017 17:00:00, 16.95
7/5/2017 18:00:00, 16.85
7/5/2017 19:00:00, 16.65
7/5/2017 20:00:00, 16.23
7/5/2017 21:00:00, 15.92
7/5/2017 22:00:00, 14.92
7/5/2017 23:00:00, 14.26
7/6/2017 00:00:00, 12.87
7/6/2017 01:00:00, 12.74
7/6/2017 02:00:00, 8.72
7/6/2017 03:00:00, 5.31
7/6/2017 04:00:00, 7.82
7/6/2017 05:00:00, 8.32
7/6/2017 06:00:00, 11.14
7/6/2017 07:00:00, 11.88
7/6/2017 08:00:00, 13.89
7/6/2017 09:00:00, 16.66
7/6/2017 10:00:00, 19.36
7/6/2017 11:00:00, 20.69
7/6/2017 12:00:00, 21.18
7/6/2017 13:00:00, 21.89
7/6/2017 14:00:00, 22.57
7/6/2017 15:00:00, 21.89
7/6/2017 16:00:00, 21.34
7/6/2017 17:00:00, 21.28
7/6/2017 18:00:00, 23.43
7/6/2017 19:00:00, 21.13
7/6/2017 20:00:00, 20.68
7/6/2017 21:00:00, 21.6
7/6/2017 22:00:00, 19.69
7/6/2017 23:00:00, 18.29
7/7/2017 00:00:00, 16
7/7/2017 01:00:00, 12.46
7/7/2017 02:00:00, 9.55
7/7/2017 03:00:00, 6.86
7/7/2017 04:00:00, 5.88
7/7/2017 05:00:00, 7.79
7/7/2017 06:00:00, 11.41
