DateTime, Value
7/1/2017 01:00:00, 80
7/1/2017 02:00:00, 79
7/1/2017 03:00:00, 91
7/1/2017 04:00:00, 94
7/1/2017 05:00:00, 97
7/1/2017 06:00:00, 95
7/1/2017 07:00:00, 88
7/1/2017 08:00:00, 84
7/1/2017 09:00:00, 68
7/1/2017 10:00:00, 65
7/1/2017 11:00:00, 64
7/1/2017 12:00:00, 60
7/1/2017 13:00:00, 41
7/1/2017 14:00:00, 38
7/1/2017 15:00:00, 53
7/1/2017 16:00:00, 60
7/1/2017 17:00:00, 55
7/1/2017 18:00:00, 58
7/1/2017 19:00:00, 76
7/1/2017 20:00:00, 86
7/1/2017 21:00:00, 83
7/1/2017 22:00:00, 80
7/1/2017 23:00:00, 81
7/2/2017 00:00:00, 83
7/2/2017 01:00:00, 83
7/2/2017 02:00:00, 87
7/2/2017 03:00:00, 88
7/2/2017 04:00:00, 93
7/2/2017 05:00:00, 96
7/2/2017 06:00:00, 97
7/2/2017 07:00:00, 99
7/2/2017 08:00:00, 99
7/2/2017 09:00:00, 100
7/2/2017 10:00:00, 100
7/2/2017 11:00:00, 99
7/2/2017 12:00:00, 92
7/2/2017 13:00:00, 87
7/2/2017 14:00:00, 95
7/2/2017 15:00:00, 97
7/2/2017 16:00:00, 97
7/2/2017 17:00:00, 98
7/2/2017 18:00:00, 98
7/2/2017 19:00:00, 99
7/2/2017 20:00:00, 100
7/2/2017 21:00:00, 100
7/2/2017 22:00:00, 100
7/2/2017 23:00:00, 100
7/3/2017 00:00:00, 100
7/3/2017 01:00:00, 100
7/3/2017 02:00:00, 100
7/3/2017 03:00:00, 100
7/3/2017 04:00:00, 100
7/3/2017 05:00:00, 100
7/3/2017 06:00:00, 100
7/3/2017 07:00:00, 100
7/3/2017 08:00:00, 100
7/3/2017 09:00:00, 100
7/3/2017 10:00:00, 100
7/3/2017 11:00:00, 100
7/3/2017 12:00:00, 100
7/3/2017 13:00:00, 100
7/3/2017 14:00:00, 100
7/3/2017 15:00:00, 100
7/3/2017 16:00:00, 96
7/3/2017 17:00:00, 93
7/3/2017 18:00:00, 89
7/3/2017 19:00:00, 82
7/3/2017 20:00:00, 84
7/3/2017 21:00:00, 81
7/3/2017 22:00:00, 87
7/3/2017 23:00:00, 84
7/4/2017 00:00:00, 86
7/4/2017 01:00:00, 90
7/4/2017 02:00:00, 93
7/4/2017 03:00:00, 93
7/4/2017 04:00:00, 93
7/4/2017 05:00:00, 94
7/4/2017 06:00:00, 94
7/4/2017 07:00:00, 85
7/4/2017 08:00:00, 81
7/4/2017 09:00:00, 77
7/4/2017 10:00:00, 74
7/4/2017 11:00:00, 74
7/4/2017 12:00:00, 68
7/4/2017 13:00:00, 57
7/4/2017 14:00:00, 49
7/4/2017 15:00:00, 47
7/4/2017 16:00:00, 46
7/4/2017 17:00:00, 43
7/4/2017 18:00:00, 45
7/4/2017 19:00:00, 49
7/4/2017 20:00:00, 70
7/4/2017 21:00:00, 75
7/4/2017 22:00:00, 79
7/4/2017 23:00:00, 89
7/5/2017 00:00:00, 94
7/5/2017 01:00:00, 96
7/5/2017 02:00:00, 96
7/5/2017 03:00:00, 99
7/5/2017 04:00:00, 99
7/5/2017 05:00:00, 100
7/5/2017 06:00:00, 100
7/5/2017 07:00:00, 100
7/5/2017 08:00:00, 98
7/5/2017 09:00:00, 96
7/5/2017 10:00:00, 89
7/5/2017 11:00:00, 82
7/5/2017 12:00:00, 79
7/5/2017 13:00:00, 75
7/5/2017 14:00:00, 74
7/5/2017 15:00:00, 72
7/5/2017 16:00:00, 68
7/5/2017 17:00:00, 67
7/5/2017 18:00:00, 63
7/5/2017 19:00:00, 60
7/5/2017 20:00:00, 65
7/5/2017 21:00:00, 67
7/5/2017 22:00:00, 68
7/5/2017 23:00:00, 70
7/6/2017 00:00:00, 74
7/6/2017 01:00:00, 74
7/6/2017 02:00:00, 71
7/6/2017 03:00:00, 65
7/6/2017 04:00:00, 73
7/6/2017 05:00:00, 74
7/6/2017 06:00:00, 67
7/6/2017 07:00:00, 71
7/6/2017 08:00:00, 66
7/6/2017 09:00:00, 60
7/6/2017 10:00:00, 46
7/6/2017 11:00:00, 33
7/6/2017 12:00:00, 30
7/6/2017 13:00:00, 30
7/6/2017 14:00:00, 33
7/6/2017 15:00:00, 35
7/6/2017 16:00:00, 35
7/6/2017 17:00:00, 36
7/6/2017 18:00:00, 36
7/6/2017 19:00:00, 32
7/6/2017 20:00:00, 30
7/6/2017 21:00:00, 35
7/6/2017 22:00:00, 35
7/6/2017 23:00:00, 45
7/7/2017 00:00:00, 48
7/7/2017 01:00:00, 60
7/7/2017 02:00:00, 74
7/7/2017 03:00:00, 85
7/7/2017 04:00:00, 95
7/7/2017 05:00:00, 95
7/7/2017 06:00:00, 94
7/7/2017 07:00:00, 83
7/7/2017 08:00:00, 71
7/7/2017 09:00:00, 61
7/7/2017 10:00:00, 53
7/7/2017 11:00:00, 45
7/7/2017 12:00:00, 42
7/7/2017 13:00:00, 40
7/7/2017 14:00:00, 37
7/7/2017 15:00:00, 35
7/7/2017 16:00:00, 35
7/7/2017 17:00:00, 35
7/7/2017 18:00:00, 41
7/7/2017 19:00:00, 44
7/7/2017 20:00:00, 48
7/7/2017 21:00:00, 55
7/7/2017 22:00:00, 58
7/7/2017 23:00:00, 67
7/8/2017 00:00:00, 74
7/8/2017 01:00:00, 81
7/8/2017 02:00:00, 88
7/8/2017 03:00:00, 96
7/8/2017 04:00:00, 98
7/8/2017 05:00:00, 98
7/8/2017 06:00:00, 93
7/8/2017 07:00:00, 89
7/8/2017 08:00:00, 76
7/8/2017 09:00:00, 65
7/8/2017 10:00:00, 56
7/8/2017 11:00:00, 47
7/8/2017 12:00:00, 40
7/8/2017 13:00:00, 37
7/8/2017 14:00:00, 37
7/8/2017 15:00:00, 40
7/8/2017 16:00:00, 40
7/8/2017 17:00:00, 39
7/8/2017 18:00:00, 39
7/8/2017 19:00:00, 39
7/8/2017 20:00:00, 43
7/8/2017 21:00:00, 46
7/8/2017 22:00:00, 48
7/8/2017 23:00:00, 55
7/9/2017 00:00:00, 63
7/9/2017 01:00:00, 74
7/9/2017 02:00:00, 74
7/9/2017 03:00:00, 77
7/9/2017 04:00:00, 73
7/9/2017 05:00:00, 80
7/9/2017 06:00:00, 83
7/9/2017 07:00:00, 78
7/9/2017 08:00:00, 74
7/9/2017 09:00:00, 74
7/9/2017 10:00:00, 69
