DateTime, Jsn (W/m2)
06/30/2017 16:30:00, 758.000
06/30/2017 17:00:00, 623.200
06/30/2017 17:30:00, 318.600
06/30/2017 18:00:00, 173.100
06/30/2017 18:30:00, 372.900
06/30/2017 19:00:00, 362.100
06/30/2017 19:30:00, 225.600
06/30/2017 20:00:00, 303.000
06/30/2017 20:30:00, 359.900
06/30/2017 21:00:00, 152.600
06/30/2017 21:30:00, 46.960
06/30/2017 22:00:00, 78.670
06/30/2017 22:30:00, 86.500
06/30/2017 23:00:00, 62.630
06/30/2017 23:30:00, 38.420
07/01/2017 00:00:00, 16.510
07/01/2017 00:30:00, 12.690
07/01/2017 01:00:00, 11.930
07/01/2017 01:30:00, 17.910
07/01/2017 02:00:00, 16.670
07/01/2017 02:30:00, 17.580
07/01/2017 03:00:00, 22.270
07/01/2017 03:30:00, 33.830
07/01/2017 04:00:00, 45.090
07/01/2017 04:30:00, 60.870
07/01/2017 05:00:00, 77.770
07/01/2017 05:30:00, 104.600
07/01/2017 06:00:00, 129.600
07/01/2017 06:30:00, 148.000
07/01/2017 07:00:00, 172.700
07/01/2017 07:30:00, 240.200
07/01/2017 08:00:00, 313.600
07/01/2017 08:30:00, 235.800
07/01/2017 09:00:00, 148.600
07/01/2017 09:30:00, 180.700
07/01/2017 10:00:00, 141.300
07/01/2017 10:30:00, 221.600
07/01/2017 11:00:00, 234.800
07/01/2017 11:30:00, 183.400
07/01/2017 12:00:00, 478.400
07/01/2017 12:30:00, 628.400
07/01/2017 13:00:00, 408.100
07/01/2017 13:30:00, 201.800
07/01/2017 14:00:00, 95.900
07/01/2017 14:30:00, 167.300
07/01/2017 15:00:00, 577.900
07/01/2017 15:30:00, 325.100
07/01/2017 16:00:00, 227.500
07/01/2017 16:30:00, 356.000
07/01/2017 17:00:00, 210.800
07/01/2017 17:30:00, 36.010
07/01/2017 18:00:00, 29.720
07/01/2017 18:30:00, 40.910
07/01/2017 19:00:00, 77.500
07/01/2017 19:30:00, 150.500
07/01/2017 20:00:00, 169.100
07/01/2017 20:30:00, 139.700
07/01/2017 21:00:00, 118.100
07/01/2017 21:30:00, 132.700
07/01/2017 22:00:00, 92.100
07/01/2017 22:30:00, 57.720
07/01/2017 23:00:00, 57.560
07/01/2017 23:30:00, 55.630
07/02/2017 00:00:00, 14.160
07/02/2017 00:30:00, 6.930
07/02/2017 01:00:00, 8.710
07/02/2017 01:30:00, 4.400
07/02/2017 02:00:00, 6.347
07/02/2017 02:30:00, 10.390
07/02/2017 03:00:00, 13.040
07/02/2017 03:30:00, 13.860
07/02/2017 04:00:00, 18.190
07/02/2017 04:30:00, 12.240
07/02/2017 05:00:00, 5.408
07/02/2017 05:30:00, 9.660
07/02/2017 06:00:00, 10.290
07/02/2017 06:30:00, 10.510
07/02/2017 07:00:00, 13.000
07/02/2017 07:30:00, 21.750
07/02/2017 08:00:00, 23.840
07/02/2017 08:30:00, 45.210
07/02/2017 09:00:00, 50.340
07/02/2017 09:30:00, 68.740
07/02/2017 10:00:00, 101.500
07/02/2017 10:30:00, 128.500
07/02/2017 11:00:00, 124.600
07/02/2017 11:30:00, 107.600
07/02/2017 12:00:00, 125.400
07/02/2017 12:30:00, 105.900
07/02/2017 13:00:00, 87.400
07/02/2017 13:30:00, 83.000
07/02/2017 14:00:00, 78.590
07/02/2017 14:30:00, 70.470
07/02/2017 15:00:00, 77.540
07/02/2017 15:30:00, 83.800
07/02/2017 16:00:00, 67.620
07/02/2017 16:30:00, 64.640
07/02/2017 17:00:00, 59.130
07/02/2017 17:30:00, 47.340
07/02/2017 18:00:00, 58.110
07/02/2017 18:30:00, 27.090
07/02/2017 19:00:00, 46.710
07/02/2017 19:30:00, 25.450
07/02/2017 20:00:00, 26.690
07/02/2017 20:30:00, 15.760
07/02/2017 21:00:00, 12.340
07/02/2017 21:30:00, 8.580
07/02/2017 22:00:00, 9.550
